,# of trees,feature,%,std,median,mean,depth,node #,# samples (mean),# samples (median)
0,500,WOA_TEMP_K,100.0,1.9545054924777516,17.417398071289085,17.36312127685549,0,0,643.098,643.0
1,367,Depth_GEBCO,73.4,37.65344627452809,-36.5,-64.20572207084469,1,1,385.7368421052632,393.0
2,114,WOA_Nitrate,22.8,1.3089171831831736,7.959020137786865,7.779379989559713,1,1,385.7368421052632,393.0
3,19,WOA_TEMP_K,3.8,0.22111357329568973,14.450769042968773,14.478956041838016,1,1,385.7368421052632,393.0
4,285,WOA_TEMP_K,56.99999999999999,1.4995596055868468,22.993554687500023,22.528350830078143,1,2,302.6489361702128,307.0
5,121,Depth_GEBCO,24.2,1855.681319796181,-2017.0,-2145.6694214876034,1,2,302.6489361702128,307.0
6,94,WOA_Nitrate,18.8,1.9617645860113522,5.9220428466796875,4.631070386122992,1,2,302.6489361702128,307.0
8,163,Depth_GEBCO,32.6,1443.0787871084756,-103.0,-702.0,2,3,212.3953488372093,208.0
9,129,WOA_TEMP_K,25.8,4.018976918159486,8.957208251953148,10.788774168029335,2,3,212.3953488372093,208.0
7,208,WOA_Nitrate,41.6,2.5549181411550417,7.708664417266846,7.698639408971828,2,3,212.3953488372093,208.0
10,258,WOA_TEMP_K,51.6,3.5652113354383874,4.404748535156273,4.545204387339534,2,4,128.45,135.5
11,202,WOA_Nitrate,40.400000000000006,4.777777350061439,1.0669662952423096,4.0375822190527275,2,4,128.45,135.5
12,40,Depth_GEBCO,8.0,752.2741886891698,-63.0,-584.3875,2,4,128.45,135.5
13,180,WOA_TEMP_K,36.0,1.7678844106024283,21.290093994140648,22.060272386338998,2,5,142.0,138.0
14,169,WOA_Nitrate,33.800000000000004,1.809879912217303,5.891585350036621,4.933934441078785,2,5,142.0,138.0
15,151,Depth_GEBCO,30.2,1218.9962495709292,-1591.0,-1454.9569536423842,2,5,142.0,138.0
18,128,WOA_TEMP_K,25.6,3.332485571951096,24.678430175781273,23.331461286544823,2,6,133.28125,171.0
16,242,Depth_GEBCO,48.4,2180.2792081362486,-796.5,-2177.628099173554,2,6,133.28125,171.0
17,130,WOA_Nitrate,26.0,2.2129922615671473,2.3994576930999756,2.695870452861373,2,6,133.28125,171.0
20,131,WOA_Nitrate,26.200000000000003,5.880713168186474,7.642237663269043,7.956965556354013,3,7,137.3119266055046,142.0
21,109,Depth_GEBCO,21.8,1837.3232565978897,-107.0,-1146.9724770642201,3,7,137.3119266055046,142.0
